time;V(/IN);user0;
0.107029;0.018417;0.157028;
0.107039;0.0245523;0.181676;
0.107049;0.0305907;0.205959;
0.107059;0.0365083;0.229782;
0.107069;0.0422819;0.253049;
0.107079;0.0478887;0.27567;
0.107089;0.0533064;0.297555;
0.107099;0.0585138;0.318617;
0.107109;0.0634902;0.338774;
0.107119;0.0682161;0.357946;
0.107129;0.0726727;0.376058;
0.107139;0.0768426;0.393037;
0.107149;0.0807091;0.408817;
0.107159;0.0842572;0.423336;
0.107169;0.0874727;0.436535;
0.107179;0.0903431;0.448364;
0.107189;0.0928568;0.458776;
0.107199;0.0950041;0.467729;
0.107209;0.0967765;0.475188;
0.107219;0.098167;0.481123;
0.107229;0.09917;0.485512;
0.107239;0.0997816;0.488337;
0.107249;0.0999995;0.489586;
0.107259;0.0998227;0.489256;
0.107269;0.0992519;0.487346;
0.107279;0.0982894;0.483865;
0.107289;0.0969391;0.478826;
0.107299;0.0952061;0.47225;
0.107309;0.0930975;0.464162;
0.107319;0.0906214;0.454594;
0.107329;0.0877877;0.443584;
0.107339;0.0846075;0.431175;
0.107349;0.0810934;0.417416;
0.107359;0.0772593;0.402363;
0.107369;0.0731202;0.386073;
0.107379;0.0686926;0.368611;
0.107389;0.0639939;0.350047;
0.107399;0.0590426;0.330453;
0.107409;0.0538584;0.309908;
0.107419;0.0484615;0.288491;
0.107429;0.0428735;0.266287;
0.107439;0.0371162;0.243385;
0.107449;0.0312124;0.219874;
0.107459;0.0251855;0.195847;
0.107469;0.0190591;0.171399;
0.107479;0.0128575;0.146627;
0.107489;0.00660524;0.121628;
0.107499;0.000326863;0.0965012;
0.107509;-0.0059528;0.0713454;
0.107519;-0.012209;0.04626;
0.107529;-0.018417;0.0213441;
0.107539;-0.0245523;-0.00330414;
0.107549;-0.0305907;-0.0275873;
0.107559;-0.0365083;-0.0514097;
0.107569;-0.0422819;-0.0746772;
0.107579;-0.0478887;-0.097298;
0.107589;-0.0533064;-0.119183;
0.107599;-0.0585138;-0.140245;
0.107609;-0.0634902;-0.160402;
0.107619;-0.0682161;-0.179574;
0.107629;-0.0726727;-0.197686;
0.107639;-0.0768426;-0.214665;
0.107649;-0.0807091;-0.230445;
0.107659;-0.0842572;-0.244963;
0.107669;-0.0874727;-0.258163;
0.107679;-0.0903431;-0.269992;
0.107689;-0.0928568;-0.280404;
0.107699;-0.0950041;-0.289357;
0.107709;-0.0967765;-0.296816;
0.107719;-0.098167;-0.302751;
0.107729;-0.09917;-0.30714;
0.107739;-0.0997816;-0.309965;
0.107749;-0.0999995;-0.311214;
