time;V(/OUT_N);V(/OUT_P);user1;
0.106007;0.971403;0.964538;-0.00686418;
0.106017;0.975913;0.960029;-0.0158843;
0.106027;0.980392;0.95555;-0.0248416;
0.106037;0.984822;0.951121;-0.0337007;
0.106047;0.989186;0.946759;-0.0424266;
0.106057;0.993466;0.942481;-0.0509848;
0.106067;0.997645;0.938304;-0.0593415;
0.106077;1.00171;0.934244;-0.0674636;
0.106087;1.00564;0.930317;-0.0753192;
0.106097;1.00942;0.926539;-0.0828771;
0.106107;1.01303;0.922925;-0.0901077;
0.106117;1.01647;0.919489;-0.0969823;
0.106127;1.01972;0.916245;-0.103474;
0.106137;1.02276;0.913205;-0.109557;
0.106147;1.02559;0.910381;-0.115207;
0.106157;1.02819;0.907784;-0.120403;
0.106167;1.03055;0.905425;-0.125124;
0.106177;1.03266;0.903313;-0.12935;
0.106187;1.03452;0.901456;-0.133067;
0.106197;1.03612;0.899861;-0.136258;
0.106207;1.03745;0.898535;-0.138912;
0.106217;1.0385;0.897482;-0.141018;
0.106227;1.03928;0.896708;-0.142568;
0.106237;1.03977;0.896214;-0.143556;
0.106247;1.03998;0.896004;-0.143978;
0.106257;1.03991;0.896077;-0.143831;
0.106267;1.03955;0.896433;-0.143118;
0.106277;1.03891;0.897072;-0.14184;
0.106287;1.03799;0.89799;-0.140003;
0.106297;1.0368;0.899184;-0.137614;
0.106307;1.03533;0.900649;-0.134682;
