time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00457;6.67034;6.67474;6.91615;7.5;
9.00458;6.66093;6.66524;6.80453;7.5;
9.00459;6.65183;6.65604;6.69561;7.5;
9.0046;6.64309;6.64718;6.58982;7.5;
9.00461;6.63474;6.63869;6.48759;7.5;
9.00462;6.62681;6.6306;6.38932;7.5;
9.00463;6.61933;6.62295;6.29539;7.5;
9.00464;6.61233;6.61577;6.20618;7.5;
9.00465;6.60584;6.60908;6.12204;7.5;
9.00466;6.59988;6.60291;6.0433;7.5;
9.00467;6.59448;6.59729;5.97026;7.5;
9.00468;6.58966;6.59224;5.90322;7.5;
9.00469;6.58544;6.58777;5.84245;7.5;
9.0047;6.58183;6.58391;5.78817;7.5;
9.00471;6.57886;6.58067;5.74061;7.5;
9.00472;6.57652;6.57807;5.69995;7.5;
9.00473;6.57483;6.5761;5.66635;7.5;
9.00474;6.5738;6.57479;5.63995;7.5;
9.00475;6.57342;6.57414;5.62084;7.5;
9.00476;6.57371;6.57414;5.6091;7.5;
9.00477;6.57466;6.5748;5.60479;7.5;
9.00478;6.57627;6.57612;5.6079;7.5;
9.00479;6.57853;6.57809;5.61845;7.5;
9.0048;6.58142;6.5807;5.63637;7.5;
9.00481;6.58495;6.58395;5.6616;7.5;
9.00482;6.5891;6.58782;5.69405;7.5;
9.00483;6.59385;6.59229;5.73358;7.5;
9.00484;6.59917;6.59735;5.78004;7.5;
9.00485;6.60506;6.60297;5.83324;7.5;
9.00486;6.61149;6.60915;5.89299;7.5;
9.00487;6.61842;6.61584;5.95903;7.5;
9.00488;6.62584;6.62303;6.03112;7.5;
9.00489;6.63372;6.63068;6.10896;7.5;
9.0049;6.64202;6.63878;6.19226;7.5;
9.00491;6.65072;6.64727;6.28068;7.5;
9.00492;6.65977;6.65614;6.37387;7.5;
9.00493;6.66914;6.66534;6.47147;7.5;
9.00494;6.67879;6.67484;6.57309;7.5;
9.00495;6.6887;6.68461;6.67833;7.5;
9.00496;6.69881;6.6946;6.78677;7.5;
9.00497;6.70909;6.70477;6.89799;7.5;
9.00498;6.71949;6.71508;7.01155;7.5;
9.00499;6.72998;6.7255;7.127;7.5;
9.005;6.74052;6.73598;7.24388;7.5;
9.00501;6.75105;6.74648;7.36174;7.5;
9.00502;6.76155;6.75697;7.48009;7.5;
9.00503;6.77197;6.76738;7.59849;7.5;
9.00504;6.78227;6.7777;7.71645;7.5;
9.00505;6.7924;6.78787;7.83352;7.5;
9.00506;6.80233;6.79785;7.94923;7.5;
9.00507;6.81202;6.80762;8.06313;7.5;
9.00508;6.82143;6.81712;8.17475;7.5;
9.00509;6.83053;6.82632;8.28368;7.5;
9.0051;6.83927;6.83518;8.38946;7.5;
9.00511;6.84762;6.84367;8.49169;7.5;
9.00512;6.85555;6.85176;8.58996;7.5;
9.00513;6.86303;6.85941;8.68389;7.5;
9.00514;6.87003;6.86659;8.7731;7.5;
9.00515;6.87652;6.87328;8.85724;7.5;
9.00516;6.88248;6.87945;8.93599;7.5;
9.00517;6.88788;6.88507;9.00902;7.5;
9.00518;6.8927;6.89012;9.07606;7.5;
9.00519;6.89692;6.89459;9.13683;7.5;
9.0052;6.90053;6.89845;9.19111;7.5;
9.00521;6.90351;6.90169;9.23867;7.5;
9.00522;6.90585;6.9043;9.27933;7.5;
9.00523;6.90754;6.90626;9.31293;7.5;
9.00524;6.90857;6.90757;9.33933;7.5;
9.00525;6.90894;6.90823;9.35844;7.5;
9.00526;6.90865;6.90822;9.37018;7.5;
9.00527;6.9077;6.90756;9.37449;7.5;
9.00528;6.9061;6.90624;9.37138;7.5;
9.00529;6.90384;6.90427;9.36084;7.5;
9.0053;6.90094;6.90166;9.34291;7.5;
9.00531;6.89741;6.89841;9.31768;7.5;
9.00532;6.89326;6.89455;9.28523;7.5;
9.00533;6.88852;6.89007;9.2457;7.5;
9.00534;6.88319;6.88501;9.19924;7.5;
9.00535;6.8773;6.87939;9.14604;7.5;
